Category,Month,Year,PdDistrict,X,Y,Location
ASSAULT,7,2016,BAYVIEW,-122.4014279,37.7336458,"(37.7336457993937, -122.401427923842)"
ASSAULT,7,2016,INGLESIDE,-122.4256921,37.73365264,"(37.7336526433445, -122.425692111373)"
ASSAULT,7,2016,INGLESIDE,-122.4256921,37.73365264,"(37.7336526433445, -122.425692111373)"
ASSAULT,4,2016,BAYVIEW,-122.4035111,37.73366496,"(37.7336649642014, -122.403511122553)"
ASSAULT,9,2016,BAYVIEW,-122.4035111,37.73366496,"(37.7336649642014, -122.403511122553)"
ASSAULT,10,2016,INGLESIDE,-122.426391,37.73367492,"(37.7336749150104, -122.426391018521)"
ASSAULT,5,2016,BAYVIEW,-122.3923934,37.73374516,"(37.7337451568089, -122.392393403915)"
ASSAULT,11,2016,BAYVIEW,-122.3923934,37.73374516,"(37.7337451568089, -122.392393403915)"
ASSAULT,12,2016,BAYVIEW,-122.3923934,37.73374516,"(37.7337451568089, -122.392393403915)"
ASSAULT,4,2016,INGLESIDE,-122.4182794,37.73378307,"(37.7337830681473, -122.418279408698)"
ASSAULT,4,2016,INGLESIDE,-122.4182794,37.73378307,"(37.7337830681473, -122.418279408698)"
ASSAULT,8,2016,BAYVIEW,-122.3788639,37.73382736,"(37.7338273597299, -122.378863947066)"
ASSAULT,8,2016,BAYVIEW,-122.3788639,37.73382736,"(37.7338273597299, -122.378863947066)"
ASSAULT,8,2016,BAYVIEW,-122.3788639,37.73382736,"(37.7338273597299, -122.378863947066)"
ASSAULT,8,2016,BAYVIEW,-122.3788639,37.73382736,"(37.7338273597299, -122.378863947066)"
ASSAULT,4,2016,INGLESIDE,-122.4518376,37.73385358,"(37.7338535835105, -122.451837577103)"
ASSAULT,5,2016,INGLESIDE,-122.4358386,37.73387442,"(37.733874419666, -122.435838640562)"
ASSAULT,2,2016,INGLESIDE,-122.4221668,37.73389815,"(37.7338981540005, -122.422166790389)"
ASSAULT,10,2016,BAYVIEW,-122.4070555,37.73391145,"(37.7339114481423, -122.407055482769)"
ASSAULT,11,2016,BAYVIEW,-122.3922356,37.73391778,"(37.7339177755227, -122.392235600843)"
ASSAULT,11,2016,BAYVIEW,-122.3922356,37.73391778,"(37.7339177755227, -122.392235600843)"
ASSAULT,5,2016,BAYVIEW,-122.3922356,37.73391778,"(37.7339177755227, -122.392235600843)"
ASSAULT,4,2016,BAYVIEW,-122.3922356,37.73391778,"(37.7339177755227, -122.392235600843)"
ASSAULT,6,2016,TARAVAL,-122.489714,37.73394977,"(37.7339497680852, -122.489713969124)"
ASSAULT,11,2016,INGLESIDE,-122.4175714,37.73395064,"(37.7339506417631, -122.417571386091)"
ASSAULT,12,2016,BAYVIEW,-122.3909717,37.73401522,"(37.7340152180723, -122.390971734551)"
ASSAULT,1,2016,BAYVIEW,-122.3909717,37.73401522,"(37.7340152180723, -122.390971734551)"
